Date;Longitude;Latitude;Depth;Rms;Type;Magnitude;Location;EventID
2023-02-09T07:31:09;27.263;37.903;8.5;0.32;ML;1.8;Ege Denizi - Kuşadası Körfezi - [04.15 km] Kuşadası (Aydın);544777
2023-02-09T07:29:02;36.65;38.075;7;0.49;ML;3.3;Göksun (Kahramanmaraş);544773
2023-02-09T07:25:12;37.104;37.359;7.81;0.16;ML;1.6;Pazarcık (Kahramanmaraş);544774
2023-02-09T07:23:49;38.658;38.204;6.99;0.49;ML;2.4;Pütürge (Malatya);544776
2023-02-09T07:18:17;36.646;37.071;10.95;0.26;MW;4.9;İslahiye (Gaziantep);544770
2023-02-09T07:16:05;37.261;37.405;7;7.54;ML;2.8;Pazarcık (Kahramanmaraş);544775
2023-02-09T07:14:12;37.794;38.13;12.2;0.37;ML;3.7;Doğanşehir (Malatya);544772
2023-02-09T07:09:45;36.488;36.893;12.68;0.52;ML;3.6;Hassa (Hatay);544771
2023-02-09T07:08:56;38.128;38.269;7.07;0.44;ML;3.1;Yeşilyurt (Malatya);544768
2023-02-09T07:07:11;38.61;38.148;10.53;0.29;MW;3.9;Pütürge (Malatya);544767
2023-02-09T07:03:01;37.866;38.11;11.9;0.32;ML;3.8;Doğanşehir (Malatya);544765
2023-02-09T07:00:16;38.434;38.086;6.97;0.38;ML;3.1;Çelikhan (Adıyaman);544764
2023-02-09T06:59:32;36.584;38.114;10.18;0.67;ML;3.1;Göksun (Kahramanmaraş);544763
2023-02-09T06:58:29;37.02;37.324;11.08;0.28;ML;2.9;Türkoğlu (Kahramanmaraş);544762
2023-02-09T06:49:48;37.619;37.981;7.51;0.33;ML;4.2;Doğanşehir (Malatya);544769
2023-02-09T06:45:11;37.601;38.008;7;0.31;ML;4.2;Doğanşehir (Malatya);544766
2023-02-09T06:43:36;37.756;37.444;7;0.09;ML;2.5;Araban (Gaziantep);544760
2023-02-09T06:40:37;37.334;37.708;7.7;0.77;ML;2.2;Çağlayancerit (Kahramanmaraş);544759
2023-02-09T06:37:04;37.607;38.086;6.99;0.65;MW;4;Elbistan (Kahramanmaraş);544753
2023-02-09T06:36:44;29.445;37.754;7.52;0.12;ML;1.4;Honaz (Denizli);544761
2023-02-09T06:31:36;37.627;37.988;7.15;0.41;ML;3.2;Doğanşehir (Malatya);544757
2023-02-09T06:30:59;37.945;37.806;10.78;0.53;ML;3.2;Tut (Adıyaman);544756
2023-02-09T06:22:47;36.355;37.972;7;0.44;ML;3.1;Göksun (Kahramanmaraş);544754
2023-02-09T06:20:12;37.541;38.109;7;0.56;ML;2.8;Elbistan (Kahramanmaraş);544758
2023-02-09T06:16:14;41.317;39.023;7.07;0.39;ML;2.1;Merkez (Muş);544755
2023-02-09T06:12:54;36.618;38.109;6.19;0.31;ML;3.7;Göksun (Kahramanmaraş);544750
2023-02-09T06:10:29;38.458;38.086;7.01;0.53;ML;2.3;Çelikhan (Adıyaman);544751
2023-02-09T06:03:18;38.672;38.212;6.7;0.43;ML;3;Pütürge (Malatya);544749
2023-02-09T06:02:13;37.503;38;6.97;0.42;ML;3.2;Nurhak (Kahramanmaraş);544748
2023-02-09T05:56:10;36.488;38.087;11.38;0.42;ML;2.9;Göksun (Kahramanmaraş);544747
