Date,Longitude,Latitude,Depth,Rms,Type,Magnitude,Location,EventID
"2023-02-05T15:26:50",39.607,38.502,7,0.19,"ML",0.8,"Maden (Elazığ)",543390
"2023-02-05T15:39:16",35.071,37.941,7.01,0.42,"ML",1.5,"Çamardı (Niğde)",543388
"2023-02-05T15:43:16",35.07,37.937,7,0.32,"ML",1.3,"Çamardı (Niğde)",543389
"2023-02-05T16:33:47",35.068,37.936,7.02,0.43,"ML",1.3,"Çamardı (Niğde)",543393
"2023-02-05T16:43:38",38.52,39.574,6.97,0.49,"ML",1.9,"İliç (Erzincan)",543394
"2023-02-05T16:44:54",41.955,39.886,9.41,0.32,"ML",1.4,"Köprüköy (Erzurum)",543396
"2023-02-05T17:10:36",35.053,37.923,7,0.25,"ML",1.3,"Çamardı (Niğde)",543395
"2023-02-05T17:23:46",38.592,38.254,7.21,0.16,"ML",0.9,"Battalgazi (Malatya)",543401
"2023-02-05T17:34:55",42.71,37.478,7,0.45,"ML",1.4,"Uludere (Şırnak)",543400
"2023-02-05T17:46:45",34.465,40.464,7.03,0.18,"ML",1.6,"Uğurludağ (Çorum)",543397
"2023-02-05T18:21:36",35.387,37.362,10.91,0.13,"ML",1.4,"Karaisalı (Adana)",543402
"2023-02-05T19:21:54",38.873,38.33,7,0.25,"ML",1,"Kale (Malatya)",543405
"2023-02-05T21:08:02",39.316,38.48,11.35,0.41,"ML",1.6,"Hazar Gölü - [02.29 km] Sivrice (Elazığ)",543410
"2023-02-05T21:34:36",38.516,37.242,7,0.4,"ML",1.3,"Bozova (Şanlıurfa)",543412
"2023-02-05T21:49:38",38.731,38.254,9.33,0.3,"ML",1.3,"Pütürge (Malatya)",543413
"2023-02-05T21:50:53",38.738,38.263,9.13,0.15,"ML",1.2,"Pütürge (Malatya)",543414
"2023-02-05T21:54:16",41.92,39.96,7.05,0.34,"ML",1.1,"Köprüköy (Erzurum)",543416
"2023-02-05T22:02:38",41.924,39.934,16.33,0.39,"ML",1.4,"Köprüköy (Erzurum)",543415
"2023-02-05T22:13:25",42.425,38.701,7,0.22,"ML",1,"Ahlat (Bitlis)",543418
"2023-02-05T22:49:20",39.154,38.444,7,0.23,"ML",0.9,"Sivrice (Elazığ)",543421
"2023-02-06T00:44:22",34.69,40.57,7,0.05,"ML",0.9,"Merkez (Çorum)",543427
"2023-02-06T01:17:32",37.043,37.288,8.6,1.92,"MW",7.7,"Pazarcık (Kahramanmaraş)",543428
"2023-02-06T01:23:17",36.778,37.221,7,0.37,"ML",4.6,"Nurdağı (Gaziantep)",543432
"2023-02-06T01:26:49",36.992,37.235,6.98,0.42,"ML",5.6,"Nurdağı (Gaziantep)",543429
"2023-02-06T01:28:16",36.92,37.304,6.2,0.21,"MW",6.6,"Nurdağı (Gaziantep)",543431
"2023-02-06T01:36:28",36.634,37.114,9.77,0.38,"ML",5.7,"İslahiye (Gaziantep)",543430
"2023-02-06T01:46:26",38.054,38.074,7,0.93,"ML",4.9,"Doğanşehir (Malatya)",543449
"2023-02-06T01:47:41",40.437,38.516,10.56,0.39,"ML",4.3,"Lice (Diyarbakır)",543446
"2023-02-06T01:51:20",36.581,36.892,7.01,0.47,"MW",5.4,"İslahiye (Gaziantep)",543442
"2023-02-06T01:51:21",36.587,36.882,7,0.69,"MW",5,"İslahiye (Gaziantep)",543438
"2023-02-06T01:58:23",36.614,37.034,8,0.61,"MW",5.3,"İslahiye (Gaziantep)",543433
"2023-02-06T02:00:11",37.555,37.718,7,0.7,"MW",5.3,"Gölbaşı (Adıyaman)",543437
"2023-02-06T02:01:45",36.99,37.288,16.82,0.58,"MW",5.3,"Pazarcık (Kahramanmaraş)",543434
"2023-02-06T02:03:36",37.879,37.907,9.65,0.58,"MW",5.6,"Doğanşehir (Malatya)",543439
"2023-02-06T02:06:23",38.326,38.069,7,0.9,"MW",5.1,"Çelikhan (Adıyaman)",543447
"2023-02-06T02:17:40",36.701,37.096,6.38,0.42,"MW",4.9,"İslahiye (Gaziantep)",543435
"2023-02-06T02:23:13",36.976,37.182,8.29,0.27,"MW",5.3,"Nurdağı (Gaziantep)",543436
"2023-02-06T02:26:31",38.225,38.015,7.02,0.42,"ML",4.6,"Çelikhan (Adıyaman)",543444
"2023-02-06T02:29:25",37.203,37.603,7,0.73,"ML",4.2,"Dulkadiroğlu (Kahramanmaraş)",543443
"2023-02-06T02:33:25",38.464,38.107,10.38,0.35,"ML",4,"Sincik (Adıyaman)",543441
"2023-02-06T02:34:16",37.275,37.554,7.11,0.34,"MW",4.7,"Pazarcık (Kahramanmaraş)",543440
"2023-02-06T02:37:01",38.595,38.206,14.32,0.4,"ML",4.1,"Battalgazi (Malatya)",543445
"2023-02-06T02:38:43",38.386,38.102,6.93,0.32,"ML",4.4,"Çelikhan (Adıyaman)",543448
"2023-02-06T02:43:31",38.636,38.258,11.4,0.43,"ML",4,"Pütürge (Malatya)",543452
"2023-02-06T02:50:42",36.884,37.122,6.97,0.83,"ML",3.8,"Nurdağı (Gaziantep)",543454
"2023-02-06T02:52:13",40.414,38.534,16.3,0.4,"ML",3.8,"Hani (Diyarbakır)",543450
"2023-02-06T02:53:45",39.386,38.421,7,0.4,"ML",3.9,"Sivrice (Elazığ)",543451
"2023-02-06T02:55:07",37.07,37.336,13.58,0.47,"ML",4.9,"Pazarcık (Kahramanmaraş)",543456
"2023-02-06T02:56:35",36.416,36.669,7.14,0.47,"ML",3.9,"Hassa (Hatay)",543453
"2023-02-06T03:01:12",38.43,38.085,6.99,0.52,"ML",4.1,"Çelikhan (Adıyaman)",543457
"2023-02-06T03:03:20",38.517,38.121,7.8,0.83,"ML",4.3,"Sincik (Adıyaman)",543458
"2023-02-06T03:04:43",38.551,38.126,11.18,0.43,"MW",4.8,"Sincik (Adıyaman)",543455
"2023-02-06T03:10:19",37.839,37.878,7.02,0.48,"ML",4.4,"Gölbaşı (Adıyaman)",543459
"2023-02-06T03:12:13",37.211,37.548,8.08,0.51,"ML",4.5,"Pazarcık (Kahramanmaraş)",543460
"2023-02-06T03:16:13",38.535,38.138,7,0.3,"MW",4.6,"Sincik (Adıyaman)",543461
"2023-02-06T03:18:44",41,39.318,7,0.35,"ML",3.1,"Karlıova (Bingöl)",543463
"2023-02-06T03:22:43",38.635,38.274,17.39,0.19,"ML",4.1,"Battalgazi (Malatya)",543462
"2023-02-06T03:24:29",37.84,37.819,6.46,0.51,"ML",4.1,"Gölbaşı (Adıyaman)",543464
"2023-02-06T03:28:43",38.531,38.121,7.46,0.87,"MW",4.3,"Sincik (Adıyaman)",543465
"2023-02-06T03:33:29",41.205,39.591,7.12,0.25,"ML",2.7,"Tekman (Erzurum)",543466
"2023-02-06T03:43:09",38.156,38.059,7.52,0.63,"ML",3.6,"Çelikhan (Adıyaman)",543467
"2023-02-06T03:45:46",38.622,38.258,12.22,0.49,"MW",4.8,"Pütürge (Malatya)",543469
"2023-02-06T03:46:54",39.473,38.476,7,0.38,"MW",3.9,"Maden (Elazığ)",543470
"2023-02-06T03:49:28",36.903,37.348,7,0.52,"ML",3.9,"Türkoğlu (Kahramanmaraş)",543477
"2023-02-06T03:58:19",36.358,36.518,7,0.33,"ML",4,"Kırıkhan (Hatay)",543493
"2023-02-06T04:01:15",36.818,37.304,7,0.6,"ML",3.8,"Türkoğlu (Kahramanmaraş)",543474
"2023-02-06T04:03:27",37.789,37.872,7.63,0.52,"ML",4,"Gölbaşı (Adıyaman)",543492
"2023-02-06T04:04:05",41.34,38.195,20.25,0.29,"ML",3.9,"Kozluk (Batman)",543471
"2023-02-06T04:05:15",37.501,37.739,6.97,0.46,"ML",4.3,"Gölbaşı (Adıyaman)",543478
"2023-02-06T04:05:56",36.957,37.105,6.84,0.84,"ML",4.4,"Nurdağı (Gaziantep)",543488
"2023-02-06T04:13:37",37.25,37.537,7.01,0.41,"MW",3.8,"Pazarcık (Kahramanmaraş)",543472
"2023-02-06T04:14:16",37.188,37.578,7,0.95,"ML",3.5,"Dulkadiroğlu (Kahramanmaraş)",543489
"2023-02-06T04:16:49",37.26,37.496,10.49,0.48,"MW",4.7,"Pazarcık (Kahramanmaraş)",543473
"2023-02-06T04:18:44",38.576,38.191,10.52,0.34,"ML",4.8,"Battalgazi (Malatya)",543476
"2023-02-06T04:24:44",37.274,37.577,7.15,0.27,"ML",4.2,"Pazarcık (Kahramanmaraş)",543479
"2023-02-06T04:28:48",38.888,39.988,13.56,0.25,"ML",3.8,"Refahiye (Erzincan)",543481
"2023-02-06T04:31:05",37.646,37.829,20.85,0.63,"MW",4,"Gölbaşı (Adıyaman)",543487
"2023-02-06T04:31:46",40.911,39.194,7.14,0.56,"ML",2.6,"Karlıova (Bingöl)",543490
"2023-02-06T04:34:52",38.621,38.285,9.73,0.24,"ML",2.7,"Battalgazi (Malatya)",543485
"2023-02-06T04:37:45",38.455,38.098,7.03,0.28,"ML",3.6,"Çelikhan (Adıyaman)",543482
"2023-02-06T04:39:44",37.758,37.847,10.91,0.43,"MW",4.7,"Gölbaşı (Adıyaman)",543480
"2023-02-06T04:41:38",38.511,38.109,7.01,0.33,"ML",3.3,"Sincik (Adıyaman)",543484
"2023-02-06T04:42:16",38.608,38.114,7.01,0.22,"ML",3.7,"Pütürge (Malatya)",543483
"2023-02-06T04:45:01",36.992,37.356,7,0.68,"ML",4.1,"Türkoğlu (Kahramanmaraş)",543496
"2023-02-06T04:54:42",37.238,37.443,7,0.44,"ML",3.6,"Pazarcık (Kahramanmaraş)",543491
"2023-02-06T04:56:05",37.226,37.441,8.24,0.49,"MW",4.4,"Pazarcık (Kahramanmaraş)",543494
"2023-02-06T04:58:07",37.374,37.59,6.43,0.29,"ML",3.9,"Pazarcık (Kahramanmaraş)",543497
"2023-02-06T05:01:48",37.891,37.887,11.67,0.38,"ML",4.7,"Tut (Adıyaman)",543495
"2023-02-06T05:08:37",36.881,37.355,7,0.28,"MW",4.2,"Türkoğlu (Kahramanmaraş)",543498
"2023-02-06T05:12:51",37.309,37.527,15.1,0.6,"MW",4.1,"Pazarcık (Kahramanmaraş)",543501
"2023-02-06T05:16:54",37.782,37.854,12.92,0.35,"ML",4.4,"Gölbaşı (Adıyaman)",543499
"2023-02-06T05:17:56",38.464,38.104,7,0.16,"ML",4,"Sincik (Adıyaman)",543500
"2023-02-06T05:19:47",38.347,38.072,7.02,0.37,"ML",4.2,"Çelikhan (Adıyaman)",543503
"2023-02-06T05:22:50",38.473,38.111,10.02,0.33,"ML",4.4,"Sincik (Adıyaman)",543505
"2023-02-06T05:30:11",38.407,37.977,7,0.9,"ML",3.3,"Çelikhan (Adıyaman)",543508
"2023-02-06T05:31:22",38.327,38.113,8.31,0.22,"MW",4.1,"Çelikhan (Adıyaman)",543502
"2023-02-06T05:33:08",38.335,38.099,12.21,0.46,"MW",4.3,"Çelikhan (Adıyaman)",543504
